,比赛,时间,主队,比分,客队
1410,亚洲预选,2013-06-05 01:30,黎巴嫩,1-1,韩国
1411,亚洲预选,2013-03-26 19:00,韩国,2-1,卡塔尔
1412,亚洲预选,2012-09-11 21:00,乌兹别克,2-2,韩国
1413,亚洲预选,2012-06-12 19:00,韩国,3-0,黎巴嫩
1414,亚洲预选,2012-06-09 00:15,卡塔尔,1-4,韩国
1415,国际友谊,2017-11-15 03:45,比利时,1-0,日本
1416,欧洲预选,2017-10-11 02:45,比利时,4-0,塞浦路斯
1417,欧洲预选,2017-10-07 23:59,波黑,3-4,比利时
1418,欧洲预选,2017-09-04 02:45,希腊,1-2,比利时
1419,欧洲预选,2017-09-01 02:45,比利时,9-0,直布罗陀
1420,欧洲预选,2017-06-10 02:45,爱沙尼亚,0-2,比利时
1421,国际友谊,2017-06-06 02:45,比利时,2-1,捷克
1422,欧洲预选,2017-03-26 03:45,比利时,1-1,希腊
1423,欧洲预选,2016-11-14 03:45,比利时,8-1,爱沙尼亚
1424,国际友谊,2016-11-10 03:45,荷兰,1-1,比利时
1425,欧洲预选,2016-10-11 02:45,直布罗陀,0-6,比利时
1426,欧洲预选,2016-10-08 02:45,比利时,4-0,波黑
1427,欧洲预选,2016-09-07 02:45,塞浦路斯,0-3,比利时
1428,欧洲杯,2016-07-02 03:00,威尔士,3-1,比利时
1429,欧洲杯,2016-06-27 03:00,匈牙利,0-4,比利时
1430,欧洲杯,2016-06-18 21:00,比利时,3-0,爱尔兰
1431,欧洲杯,2016-06-14 03:00,比利时,0-2,意大利
1432,国际友谊,2016-06-05 23:59,比利时,3-2,挪威
1433,国际友谊,2016-06-02 02:45,比利时,1-1,芬兰
1434,国际友谊,2015-11-14 03:45,比利时,3-1,意大利
1435,欧洲杯,2015-10-14 02:45,比利时,3-1,以色列
1436,欧洲杯,2015-10-11 02:45,安道尔,1-4,比利时
1437,欧洲杯,2015-09-07 02:45,塞浦路斯,0-1,比利时
1438,欧洲杯,2015-09-04 02:45,比利时,3-1,波黑
1439,欧洲杯,2015-06-13 02:45,威尔士,1-0,比利时
1440,欧洲杯,2015-04-01 02:45,以色列,0-1,比利时
1441,欧洲杯,2015-03-29 03:45,比利时,5-0,塞浦路斯
1442,欧洲杯,2014-11-17 01:00,比利时,0-0,威尔士
1443,欧洲杯,2014-10-14 02:45,波黑,1-1,比利时
1444,欧洲杯,2014-10-11 02:45,比利时,6-0,安道尔
1445,世界杯,2014-07-02 04:00,比利时,0-0,美国
1446,世界杯,2014-06-18 00:00,比利时,2-1,阿尔及利亚
1447,国际友谊,2014-06-08 02:45,比利时,1-0,突尼斯
1448,国际友谊,2014-05-27 02:45,比利时,5-1,卢森堡
1449,国际友谊,2014-03-06 03:45,比利时,2-2,科特迪瓦
1450,球会友谊,2013-11-20 04:00,比利时,2-3,日本
1451,欧洲预选,2013-10-16 03:00,比利时,1-1,威尔士
1452,欧洲预选,2013-09-07 03:00,苏格兰,0-2,比利时
1453,球会友谊,2013-05-30 08:15,美国,2-4,比利时
1454,欧洲预选,2013-03-27 03:45,比利时,1-0,马其顿
1455,欧洲预选,2013-03-23 03:45,马其顿,0-2,比利时
1456,球会友谊,2013-02-07 03:45,比利时,2-1,斯洛伐克
1457,球会友谊,2012-11-15 03:00,罗马尼亚,2-1,比利时
1458,欧洲预选,2012-10-17 02:45,比利时,2-0,苏格兰
1459,欧洲预选,2012-09-08 02:45,威尔士,0-2,比利时
1460,球会友谊,2012-08-16 02:45,比利时,4-2,荷兰
1461,球会友谊,2012-06-03 00:15,英格兰,1-0,比利时
1462,球会友谊,2012-05-26 02:45,比利时,2-2,黑山
1463,球会友谊,2012-03-01 03:30,希腊,1-1,比利时
1464,欧洲杯,2011-10-08 02:45,比利时,4-1,哈萨克斯坦
1465,欧洲杯,2011-09-02 23:59,阿塞拜疆,1-1,比利时
1466,欧洲预选,2017-10-08 23:59,立陶宛,0-1,英格兰
1467,欧洲预选,2017-10-06 02:45,英格兰,1-0,斯洛文尼亚
1468,欧洲预选,2017-09-05 02:45,英格兰,2-1,斯洛伐克
1469,欧洲预选,2017-09-02 02:45,马耳他,0-4,英格兰
1470,欧洲预选,2017-06-10 23:59,苏格兰,2-2,英格兰
1471,欧洲预选,2017-03-26 23:59,英格兰,2-0,立陶宛
1472,欧洲预选,2016-11-12 03:45,英格兰,3-0,苏格兰
1473,欧洲预选,2016-10-12 02:45,斯洛文尼亚,0-0,英格兰
1474,欧洲预选,2016-10-08 23:59,英格兰,2-0,马耳他
1475,欧洲预选,2016-09-04 23:59,斯洛伐克,0-1,英格兰
1476,欧洲杯,2016-06-21 03:00,斯洛伐克,0-0,英格兰
1477,欧洲杯,2016-06-16 21:00,英格兰,2-1,威尔士
1478,国际友谊,2016-05-23 00:15,英格兰,2-1,土耳其
1479,国际友谊,2016-03-30 03:00,英格兰,1-2,荷兰
1480,欧洲杯,2015-10-13 02:45,立陶宛,0-3,英格兰
1481,欧洲杯,2015-10-10 02:45,英格兰,2-0,爱沙尼亚
1482,欧洲杯,2015-09-05 23:59,圣马力诺,0-6,英格兰
1483,欧洲杯,2015-06-14 23:59,斯洛文尼亚,2-3,英格兰
1484,国际友谊,2015-06-07 20:00,爱尔兰,0-0,英格兰
1485,国际友谊,2015-04-01 02:45,意大利,1-1,英格兰
1486,欧洲杯,2015-03-28 03:45,英格兰,4-0,立陶宛
1487,国际友谊,2014-11-19 04:00,苏格兰,1-3,英格兰
1488,欧洲杯,2014-11-16 01:00,英格兰,3-1,斯洛文尼亚
1489,欧洲杯,2014-10-12 23:59,爱沙尼亚,0-1,英格兰
1490,欧洲杯,2014-10-10 02:45,英格兰,5-0,圣马力诺
1491,国际友谊,2014-09-04 03:00,英格兰,1-0,挪威
1492,世界杯,2014-06-15 06:00,英格兰,1-2,意大利
1493,国际友谊,2014-06-08 04:45,英格兰,0-0,洪都拉斯
1494,国际友谊,2014-06-05 03:00,厄瓜多尔,2-2,英格兰
1495,球会友谊,2013-11-16 04:00,英格兰,0-2,智利
1496,欧洲预选,2013-10-16 03:00,英格兰,2-0,波兰
1497,欧洲预选,2013-10-12 03:00,英格兰,4-1,黑山
1498,欧洲预选,2013-09-11 02:45,乌克兰,0-0,英格兰
1499,欧洲预选,2013-09-07 03:00,英格兰,4-0,摩尔多瓦
1500,球会友谊,2013-08-15 03:00,英格兰,3-2,苏格兰
1501,球会友谊,2013-05-30 03:00,英格兰,1-1,爱尔兰
1502,欧洲预选,2013-03-27 04:00,黑山,1-1,英格兰
1503,欧洲预选,2013-03-23 04:00,圣马力诺,0-8,英格兰
1504,欧洲预选,2012-10-17 23:00,波兰,1-1,英格兰
1505,欧洲预选,2012-10-13 03:00,英格兰,5-0,圣马力诺
1506,欧洲预选,2012-09-12 03:00,英格兰,1-1,乌克兰
1507,欧洲预选,2012-09-08 02:45,摩尔多瓦,0-5,英格兰
1508,球会友谊,2012-08-16 03:00,英格兰,2-1,意大利
1509,欧洲杯,2012-06-25 02:45,英格兰,0-0,意大利
1510,欧洲杯,2012-06-20 02:45,乌克兰,0-1,英格兰
1511,球会友谊,2012-05-27 02:45,挪威,0-1,英格兰
1512,球会友谊,2012-03-01 04:00,英格兰,2-3,荷兰
1513,欧洲杯,2011-10-08 03:00,黑山,2-2,英格兰
1514,欧洲杯,2011-09-07 02:45,英格兰,1-0,威尔士
1515,欧洲杯,2011-09-03 02:15,保加利亚,0-3,英格兰
1516,国际友谊,2017-11-15 03:45,威尔士,1-1,巴拿马
1517,北美预选,2017-10-07 07:35,美国,4-0,巴拿马
1518,北美预选,2017-09-06 10:05,巴拿马,3-0,特立尼达和多巴哥
1519,美金杯,2017-07-16 04:35,巴拿马,3-0,马提尼克
1520,美金杯,2017-07-13 06:35,尼加拉瓜,1-2,巴拿马
1521,美金杯,2017-07-09 04:45,美国,1-1,巴拿马
1522,北美预选,2017-06-14 09:35,巴拿马,2-2,洪都拉斯
1523,北美预选,2017-03-29 10:05,巴拿马,1-1,美国
1524,北美预选,2017-03-25 07:00,特立尼达和多巴哥,1-0,巴拿马
1525,中美杯,2017-01-21 10:05,巴拿马,1-0,萨尔瓦多
1526,中美杯,2017-01-18 10:00,巴拿马,0-1,洪都拉斯
1527,中美杯,2017-01-16 07:00,巴拿马,2-1,尼加拉瓜
1528,中美杯,2017-01-14 10:05,巴拿马,0-0,伯利兹
1529,北美预选,2016-11-12 04:35,洪都拉斯,0-1,巴拿马
1530,北美预选,2016-09-03 09:30,巴拿马,2-0,牙买加
1531,国际友谊,2016-08-11 09:30,巴拿马,0-0,危地马拉
1532,美洲杯,2016-06-15 08:00,智利,4-2,巴拿马
1533,美洲杯,2016-06-07 07:00,巴拿马,2-1,玻利维亚
1534,国际友谊,2016-05-25 09:30,巴拿马,0-0,委内瑞拉
1535,国际友谊,2016-04-28 08:00,马提尼克,0-2,巴拿马
1536,北美预选,2016-03-30 09:30,巴拿马,1-0,海地
1537,北美预选,2016-03-26 08:00,海地,0-0,巴拿马
1538,国际友谊,2016-03-16 09:30,尼加拉瓜,1-0,巴拿马
1539,国际友谊,2016-02-18 09:30,巴拿马,1-0,萨尔瓦多
1540,国际友谊,2016-01-09 09:35,巴拿马,4-0,古巴
1541,北美预选,2015-11-14 10:05,牙买加,0-2,巴拿马
1542,国际友谊,2015-10-09 09:35,巴拿马,1-2,特立尼达和多巴哥
1543,国际友谊,2015-09-09 05:25,委内瑞拉,1-1,巴拿马
1544,美金杯,2015-07-26 04:00,美国,1-1,巴拿马
1545,美金杯,2015-07-20 04:30,特立尼达和多巴哥,1-1,巴拿马
1546,美金杯,2015-07-14 09:45,美国,1-1,巴拿马
1547,美金杯,2015-07-11 06:00,洪都拉斯,1-1,巴拿马
1548,美金杯,2015-07-08 07:00,巴拿马,1-1,海地
1549,国际友谊,2015-06-07 05:00,厄瓜多尔,4-0,巴拿马
1550,国际友谊,2015-06-04 09:35,巴拿马,1-1,厄瓜多尔
1551,国际友谊,2015-03-28 07:00,特立尼达和多巴哥,0-1,巴拿马
1552,国际友谊,2015-02-09 05:00,美国,2-0,巴拿马
1553,国际友谊,2014-11-19 09:05,巴拿马,0-0,加拿大
1554,国际友谊,2014-11-15 09:05,萨尔瓦多,1-3,巴拿马
1555,中美杯,2014-09-14 09:00,萨尔瓦多,0-1,巴拿马
1556,中美杯,2014-09-11 06:05,巴拿马,2-0,尼加拉瓜
1557,北美预选,2013-10-16 09:30,巴拿马,2-3,美国
1558,北美预选,2013-09-11 09:00,洪都拉斯,2-2,巴拿马
1559,非洲预选,2017-11-12 01:30,突尼斯,0-0,利比亚
1560,非洲预选,2017-10-08 01:00,几内亚,1-4,突尼斯
1561,非洲预选,2017-09-06 01:30,刚果民主共和国,2-2,突尼斯
1562,非洲预选,2017-09-02 04:00,突尼斯,2-1,刚果民主共和国
1563,国际友谊,2017-03-25 02:00,突尼斯,0-1,喀麦隆
1564,非洲杯,2017-01-28 23:59,布基纳法索,2-0,突尼斯
1565,非洲杯,2017-01-24 03:00,津巴布韦,2-4,突尼斯
1566,非洲杯,2017-01-19 23:59,阿尔及利亚,1-2,突尼斯
1567,非洲杯,2017-01-16 03:00,突尼斯,0-2,塞内加尔
1568,国际友谊,2017-01-04 21:35,突尼斯,2-0,乌干达
1569,国际友谊,2016-12-31 03:30,巴斯克,3-1,突尼斯
1570,国际友谊,2016-12-29 01:45,加太罗尼亚,3-3,突尼斯
1571,国际友谊,2016-11-15 22:00,突尼斯,0-0,毛里塔尼亚
1572,非洲预选,2016-11-12 03:00,利比亚,0-1,突尼斯
1573,非洲预选,2016-10-10 01:00,突尼斯,2-0,几内亚
1574,非洲杯,2016-09-05 01:30,突尼斯,4-1,利比里亚
1575,非洲杯,2016-06-03 20:30,吉布提,0-3,突尼斯
1576,非洲杯,2016-03-29 23:00,多哥,0-0,突尼斯
1577,非洲杯,2016-03-26 01:00,突尼斯,1-0,多哥
1578,非国锦标,2016-01-31 21:00,突尼斯,1-2,马里
1579,非国锦标,2016-01-26 22:00,尼日尔,0-5,突尼斯
1580,非国锦标,2016-01-18 21:00,突尼斯,2-2,几内亚
1581,非洲预选,2015-11-18 01:00,突尼斯,2-1,毛里塔尼亚
1582,非国锦标,2015-10-20 01:00,突尼斯,1-0,利比亚
1583,国际友谊,2015-10-10 01:00,突尼斯,3-3,加蓬
1584,国际友谊,2015-03-31 19:35,中国,1-1,突尼斯
1585,麒麟杯,2015-03-27 18:40,日本,2-0,突尼斯
1586,非洲杯,2015-02-01 03:30,赤道几内亚,1-1,突尼斯
1587,非洲杯,2015-01-27 02:00,突尼斯,1-1,刚果民主共和国
1588,非洲杯,2015-01-22 23:59,突尼斯,2-1,赞比亚
1589,非洲杯,2015-01-19 03:00,佛得角,1-1,突尼斯
1590,国际友谊,2015-01-12 01:00,突尼斯,1-1,阿尔及利亚
1591,非洲杯,2014-11-15 00:30,博茨瓦纳,0-0,突尼斯
1592,非洲杯,2014-10-16 03:15,突尼斯,1-0,塞内加尔
1593,非洲杯,2014-10-11 04:00,塞内加尔,0-0,突尼斯
1594,非洲杯,2014-09-07 03:15,突尼斯,2-1,博茨瓦纳
1595,国际友谊,2014-03-06 02:00,哥伦比亚,1-1,突尼斯
1596,欧洲预选,2017-10-08 23:59,波兰,4-2,黑山
1597,欧洲预选,2017-10-05 23:59,阿美尼亚,1-6,波兰
1598,欧洲预选,2017-09-05 02:45,波兰,3-0,哈萨克斯坦
1599,欧洲预选,2017-06-11 02:45,波兰,3-1,罗马尼亚
1600,欧洲预选,2017-03-27 02:45,黑山,1-2,波兰
1601,国际友谊,2016-11-15 03:45,波兰,1-1,斯洛文尼亚
1602,欧洲预选,2016-11-12 03:45,罗马尼亚,0-3,波兰
1603,欧洲预选,2016-10-12 02:45,波兰,2-1,阿美尼亚
1604,欧洲预选,2016-09-04 23:59,哈萨克斯坦,2-2,波兰
1605,欧洲杯,2016-06-21 23:59,乌克兰,0-1,波兰
1606,欧洲杯,2016-06-12 23:59,波兰,1-0,北爱尔兰
1607,国际友谊,2016-06-06 23:59,波兰,0-0,立陶宛
1608,国际友谊,2016-06-02 02:45,波兰,1-2,荷兰
1609,国际友谊,2016-03-27 00:30,波兰,5-0,芬兰
1610,国际友谊,2015-11-18 03:45,波兰,3-1,捷克
1611,欧洲杯,2015-10-12 02:45,波兰,2-1,爱尔兰
1612,欧洲杯,2015-10-09 02:45,苏格兰,2-2,波兰
1613,欧洲杯,2015-09-08 02:45,波兰,8-1,直布罗陀
1614,国际友谊,2015-06-17 02:45,波兰,0-0,希腊
1615,欧洲杯,2015-06-13 23:59,波兰,4-0,格鲁吉亚
1616,欧洲杯,2015-03-30 02:45,爱尔兰,1-1,波兰
1617,欧洲杯,2014-11-15 01:00,格鲁吉亚,0-4,波兰
1618,欧洲杯,2014-10-15 02:45,波兰,2-2,苏格兰
1619,欧洲杯,2014-09-08 02:45,直布罗陀,0-7,波兰
1620,国际友谊,2014-06-06 23:30,波兰,2-1,立陶宛
1621,国际友谊,2014-03-06 03:45,波兰,0-1,苏格兰
1622,球会友谊,2013-11-20 03:45,波兰,0-0,爱尔兰
1623,欧洲预选,2013-10-12 02:00,乌克兰,1-0,波兰
1624,欧洲预选,2013-09-11 02:45,圣马力诺,1-5,波兰
1625,欧洲预选,2013-09-07 02:45,波兰,1-1,黑山
1626,欧洲预选,2013-06-08 02:15,摩尔多瓦,1-1,波兰
1627,欧洲预选,2013-03-27 03:45,波兰,5-0,圣马力诺
1628,欧洲预选,2013-03-23 03:45,波兰,1-3,乌克兰
1629,球会友谊,2013-02-07 03:45,爱尔兰,2-0,波兰
1630,欧洲预选,2012-09-12 02:45,波兰,2-0,摩尔多瓦
1631,欧洲预选,2012-09-08 02:30,黑山,2-2,波兰
1632,欧洲杯,2012-06-17 02:45,波兰,0-1,捷克
1633,欧洲杯,2012-06-08 23:59,波兰,1-1,希腊
1634,国际友谊,2017-11-14 19:35,中国,0-4,哥伦比亚
1635,南美预选,2017-10-06 07:30,哥伦比亚,1-2,巴拉圭
1636,南美预选,2017-09-01 05:00,委内瑞拉,0-0,哥伦比亚
1637,国际友谊,2017-06-14 02:30,喀麦隆,0-4,哥伦比亚
1638,南美预选,2017-03-29 05:00,厄瓜多尔,0-2,哥伦比亚
1639,南美预选,2017-03-24 04:30,哥伦比亚,1-0,玻利维亚
1640,南美预选,2016-11-11 04:30,哥伦比亚,0-0,智利
1641,南美预选,2016-10-07 07:30,巴拉圭,0-1,哥伦比亚
1642,南美预选,2016-09-02 04:30,哥伦比亚,2-0,委内瑞拉
1643,美洲杯,2016-06-26 08:00,美国,0-1,哥伦比亚
1644,美洲杯,2016-06-23 08:05,哥伦比亚,0-2,智利
1645,美洲杯,2016-06-08 10:30,哥伦比亚,2-1,巴拉圭
1646,美洲杯,2016-06-04 09:35,美国,0-2,哥伦比亚
1647,国际友谊,2016-05-30 05:00,哥伦比亚,3-1,海地
1648,南美预选,2016-03-30 04:30,哥伦比亚,3-1,厄瓜多尔
1649,南美预选,2016-03-25 04:00,玻利维亚,2-3,哥伦比亚
1650,南美预选,2015-11-13 07:30,智利,1-1,哥伦比亚
1651,美洲杯,2015-06-15 03:00,哥伦比亚,0-1,委内瑞拉
1652,国际友谊,2015-03-30 23:59,哥伦比亚,3-1,科威特
1653,国际友谊,2015-03-27 01:00,巴林,0-6,哥伦比亚
1654,国际友谊,2014-11-19 01:00,斯洛文尼亚,0-1,哥伦比亚
1655,国际友谊,2014-11-15 03:45,美国,1-2,哥伦比亚
1656,国际友谊,2014-10-15 09:30,加拿大,0-1,哥伦比亚
1657,国际友谊,2014-10-11 08:00,哥伦比亚,3-0,萨尔瓦多
1658,世界杯,2014-06-25 04:00,日本,1-4,哥伦比亚
1659,世界杯,2014-06-20 00:00,哥伦比亚,2-1,科特迪瓦
1660,世界杯,2014-06-15 00:00,哥伦比亚,3-0,希腊
1661,国际友谊,2014-06-07 07:00,哥伦比亚,3-0,约旦
1662,国际友谊,2014-06-01 05:00,哥伦比亚,2-2,塞内加尔
1663,球会友谊,2013-11-20 03:30,荷兰,0-0,哥伦比亚
1664,南美预选,2013-10-16 07:30,巴拉圭,1-2,哥伦比亚
1665,南美预选,2013-10-12 05:00,哥伦比亚,3-3,智利
1666,南美预选,2013-09-07 06:00,哥伦比亚,1-0,厄瓜多尔
1667,南美预选,2013-03-27 08:00,委内瑞拉,1-0,哥伦比亚
1668,南美预选,2013-03-23 04:00,哥伦比亚,5-0,玻利维亚
1669,南美预选,2012-10-13 04:30,哥伦比亚,2-0,巴拉圭
1670,南美预选,2012-09-12 03:30,智利,1-3,哥伦比亚
1671,南美预选,2012-06-11 05:00,厄瓜多尔,1-0,哥伦比亚
1672,南美预选,2011-11-12 08:00,哥伦比亚,1-1,委内瑞拉
1673,南美预选,2011-10-12 04:00,玻利维亚,1-2,哥伦比亚
1674,美洲杯,2011-07-11 03:00,哥伦比亚,2-0,玻利维亚
1675,非洲预选,2017-11-15 03:30,塞内加尔,2-1,南非
1676,非洲预选,2017-11-11 01:00,南非,0-2,塞内加尔
1677,非洲预选,2017-10-08 01:30,佛得角,0-2,塞内加尔
1678,西非杯,2017-09-20 02:00,塞内加尔,0-0,科特迪瓦
1679,西非杯,2017-09-18 02:00,塞内加尔,4-0,贝宁
1680,西非杯,2017-09-15 23:00,塞内加尔,1-2,尼日尔
1681,西非杯,2017-09-10 02:00,塞内加尔,0-0,利比里亚
1682,非洲预选,2017-09-06 02:00,布基纳法索,2-2,塞内加尔
1683,非洲预选,2017-09-03 04:00,塞内加尔,0-0,布基纳法索
1684,非国锦标,2017-07-23 01:00,塞内加尔,3-1,塞拉利昂
1685,非洲杯,2017-06-11 05:00,塞内加尔,3-0,赤道几内亚
1686,国际友谊,2017-03-28 02:05,科特迪瓦,1-1,塞内加尔
1687,非洲杯,2017-01-29 03:00,塞内加尔,0-0,喀麦隆
1688,非洲杯,2017-01-24 03:00,塞内加尔,2-2,阿尔及利亚
1689,非洲杯,2017-01-20 03:00,塞内加尔,2-0,津巴布韦
1690,国际友谊,2016-11-27 23:00,塞内加尔,2-1,布基纳法索
1691,非洲预选,2016-11-12 21:00,南非,2-1,塞内加尔
1692,非洲预选,2016-10-09 04:00,塞内加尔,2-0,佛得角
1693,非洲杯,2016-09-04 01:30,塞内加尔,2-0,纳米比亚
1694,国际友谊,2016-05-28 21:30,卢旺达,0-2,塞内加尔
1695,非洲杯,2016-03-27 03:00,塞内加尔,2-0,尼日尔
1696,非洲预选,2015-11-18 03:00,塞内加尔,3-0,马达加斯加
1697,国际友谊,2015-10-14 03:25,阿尔及利亚,1-0,塞内加尔
1698,国际友谊,2015-09-09 01:10,南非,1-0,塞内加尔
1699,非洲杯,2015-06-14 03:00,塞内加尔,3-1,布隆迪
1700,国际友谊,2015-03-29 03:45,加纳,1-2,塞内加尔
1701,非洲杯,2015-01-28 02:00,阿尔及利亚,2-0,塞内加尔
1702,非洲杯,2015-01-24 03:00,塞内加尔,1-1,南非
1703,非洲杯,2015-01-19 23:59,加纳,1-2,塞内加尔
1704,非洲杯,2014-11-20 03:00,塞内加尔,3-0,博茨瓦纳
1705,非洲杯,2014-09-11 01:00,博茨瓦纳,0-2,塞内加尔
1706,国际友谊,2014-05-25 23:00,科索沃,1-3,塞内加尔
1707,东亚杯,2017-12-12 18:20,日本,2-1,中国
1708,东亚杯,2017-12-09 18:15,日本,1-0,朝鲜
1709,麒麟杯,2017-10-10 18:30,日本,3-3,海地
1710,麒麟杯,2017-10-06 18:20,日本,2-1,新西兰
1711,亚洲预选,2017-06-13 20:25,伊拉克,1-1,日本
1712,麒麟杯,2017-06-07 18:25,日本,1-1,叙利亚
1713,亚洲预选,2017-03-28 18:35,日本,4-0,泰国
1714,亚洲预选,2017-03-23 23:30,阿联酋,0-2,日本
1715,国际友谊,2016-11-11 18:20,日本,4-0,阿曼
1716,亚洲预选,2016-10-06 18:35,日本,2-1,伊拉克
1717,亚洲预选,2016-09-06 20:15,泰国,0-2,日本
1718,亚洲预选,2016-09-01 18:35,日本,1-2,阿联酋
1719,麒麟杯,2016-06-07 18:30,日本,1-2,波黑
1720,麒麟杯,2016-06-03 18:40,日本,7-2,保加利亚
1721,亚洲预选,2016-03-29 18:30,日本,5-0,叙利亚
1722,亚洲预选,2016-03-24 18:30,日本,5-0,阿富汗
1723,亚洲预选,2015-11-17 20:15,柬埔寨,0-2,日本
1724,亚洲预选,2015-11-12 19:15,新加坡,0-3,日本
1725,亚洲预选,2015-10-08 21:00,叙利亚,0-3,日本
1726,亚洲预选,2015-09-03 18:25,日本,3-0,柬埔寨
1727,东亚杯,2015-08-09 20:10,中国,1-1,日本
1728,东亚杯,2015-08-02 18:20,朝鲜,2-1,日本
1729,亚洲预选,2015-06-16 18:30,日本,0-0,新加坡
1730,麒麟杯,2015-06-11 18:00,日本,4-0,伊拉克
1731,亚洲杯,2015-01-23 17:30,日本,1-1,阿联酋
1732,亚洲杯,2015-01-20 17:00,日本,2-0,约旦
1733,亚洲杯,2015-01-16 17:00,伊拉克,0-1,日本
1734,亚洲杯,2015-01-12 15:00,日本,4-0,巴勒斯坦
1735,国际友谊,2015-01-04 15:00,日本,2-0,奥克兰城
1736,国际友谊,2014-11-14 18:35,日本,6-0,洪都拉斯
1737,国际友谊,2014-10-10 18:25,日本,1-0,牙买加
1738,国际友谊,2014-09-09 18:20,日本,2-2,委内瑞拉
1739,世界杯,2014-06-20 06:00,日本,0-0,希腊
1740,世界杯,2014-06-15 09:00,科特迪瓦,2-1,日本
1741,国际友谊,2014-06-07 07:30,日本,4-3,赞比亚
1742,麒麟杯,2014-05-27 18:30,日本,1-0,塞浦路斯
1743,麒麟杯,2014-03-05 18:40,日本,4-2,新西兰
1744,球会友谊,2013-11-16 20:15,荷兰,2-2,日本
1745,洲际杯,2013-06-20 06:00,意大利,4-3,日本
1746,亚洲预选,2013-06-11 22:30,伊拉克,0-1,日本
1747,球会友谊,2013-05-30 18:20,日本,0-2,保加利亚
1748,亚洲预选,2013-03-26 22:00,约旦,2-1,日本
1749,球会友谊,2013-02-06 18:20,日本,3-0,拉脱维亚
1750,亚洲预选,2012-11-14 19:30,阿曼,1-2,日本
1751,亚洲预选,2012-09-11 18:30,日本,1-0,伊拉克
1752,亚洲预选,2012-06-08 18:30,日本,6-0,约旦
1753,亚洲预选,2012-06-03 18:30,日本,3-0,阿曼
